volume_weight,frictional_angle,cohesion,DJ_1,DJ_2,DJ_4,DJ_3,ZZJL,ZXZ_YL_1,ZXZ_YL_2,KWC_YL_1,KWC_YL_2,NJB_SZ_11,NJB_SZ_21,YG_A_2,YG_B_2,YG_C_2,YG_D_2,YG_E_2,YG_F_2,DJ_5
23.05928251,47.73781764,47.08535127,76712.5,11.8625,10020.625,1.165,33.59333333,3.53125,3.50625,2.755625,2.735,78,78,79.625,123,133,207.125,102.25,87.375,13.875
23.20342528,48.6989997,48.02227948,77340,12.19568345,10260.31175,1.170158273,29.93333333,3.534848921,3.934733813,2.783597122,2.760791367,78.32086331,78.64316547,76.12374101,122.4460432,132.8489209,218.8863309,100.6690647,86.51510791,14.31294964
23.35064556,49.68121734,48.98401476,77202.2756,11.85689001,8711.238938,1.237774968,30.78666667,3.538192162,3.706131479,2.812225032,2.789228824,76.99494311,78,75.15802781,121.5600506,130.1441214,227.8836915,95.07206068,86.46270544,14.74178255
23.50310259,50.69784846,49.97505457,76526.51806,12.74381245,10604.29669,1.205272867,31.64,3.53537279,3.506272098,2.791775557,2.768201384,77.4396618,78.45734051,91.78478094,117.5157571,128.501153,215.8093774,86.48424289,89.90930054,15.40814758
23.66133523,51.75462743,51.01249802,76075.69917,12.32275132,10809.48224,1.182615268,32.46,3.539554044,3.444459562,2.763983371,2.740816327,78.55253212,80.66742252,101.6507937,104.6394558,143.9062736,192.8238851,92.861678,86.88586546,14.61829176
23.82149278,52.82279294,52.05601926,77138.21678,12.27328671,9644.664336,1.155916084,33.68,3.551923077,3.474923077,2.751657343,2.727972028,80.46363636,82.20839161,106.1986014,113.620979,141.4937063,186.2741259,94.75804196,93.0027972,14.24125874
23.88583212,53.37344331,52.75820799,75963.70523,11.4268595,9350.547521,1.189256198,32.90666667,3.526411846,3.448285124,2.701528926,2.678195592,75.94352617,81.04889807,95.36639118,126.0798898,136.7754821,178.0950413,98.90082645,91.8677686,13.63464187
23.87973718,53.54396496,53.21349773,76410.34314,12.79663866,10901.72969,1.141568627,33.3,3.544362745,3.492640056,2.764502801,2.741848739,74.39985994,80.8942577,75.20868347,138.719888,137.1526611,184.3361345,102.5378151,96.48739496,14.60994398
23.87151456,53.69936554,53.64828372,77780.72267,9.753821138,8623.742547,1.144108401,34.42666667,3.51401084,3.397913279,2.761073171,2.738363144,76.20379404,81.24173442,77.63577236,152.7501355,141.9327913,185.7680217,98.4498645,92.35555556,11.20813008
23.86666667,53.88024147,54.11975853,78136.28495,10.92749667,9626.786455,1.202609854,34.16,3.523089214,3.399340879,2.832909454,2.81017976,75.32956059,79.31424767,91.73635153,147.3595206,140.5339547,184.8455393,90.84287617,96.32490013,13.19773635
23.85891397,54.04236179,54.567877,75453.17618,11.41550696,10378.68787,1.182823062,41.10666667,3.525208748,3.415016567,2.831272366,2.80916501,75.63949636,78.84824387,110.813784,111.0854871,137.8581842,172.0410868,94.08349901,93.72432074,13.54937044
23.85225521,54.21141545,55.02247007,76425.17312,10.196968,10012.99551,1.188714206,34.95333333,3.386075239,3.212942167,2.786395284,2.764048287,78.12408759,78.8062886,105.2330152,110.6625491,149.0230208,166.1089276,111.8899495,83.30039304,12.17069062
23.8445157,54.37543167,55.47442855,77419.88921,12.20960983,10638.01879,1.163395954,34.84,3.286654624,3.163858382,2.667210983,2.644140173,76.4400289,81.65101156,106.0924855,132.5419075,160.2297688,159.75,111.6531792,65.92485549,14.25144509
23.83849579,54.55203695,55.94326241,75900.5698,12.23561254,10672.52849,1.166908832,34.50666667,3.283069801,3.193069801,2.611880342,2.589045584,76.39031339,81.54415954,106.4088319,110.8133903,172.1068376,152.505698,105.2051282,72.52849003,14.32763533
23.78988115,54.37850776,56.01403103,73372.35339,14.0790556,10589.72582,1.094516375,33.18,3.270715918,3.185940594,2.603305407,2.580388423,70.67479056,79.90403656,106.2650419,71.43335872,172.7159177,160.8849962,103.3648134,74.68849962,15.44706778
23.73532716,54.15680767,56.02842036,73232.82931,12.82844895,9979.97105,1.189025721,34.42,3.268261886,3.180826189,2.627677319,2.60441933,69.97194076,81.16913484,104.1184723,55.52611068,172.4271239,175.2330475,105.2876072,71.71784879,15.28994544
23.68202414,53.94344303,56.05192658,74260.59603,12.299117,10383.58352,1.184841795,34.4,3.265025754,3.171670346,2.606320824,2.583465784,70.74319352,81.03311258,104.2899191,51.29359823,175.4584253,180.8388521,108.3767476,72.67844003,14.64201619
23.6276233,53.72360146,56.07034095,72479.64539,11.91432624,10759.2695,1.205716312,33.3,3.266205674,3.176822695,2.55222695,2.528524823,70.30141844,78.85815603,112.5574468,30.31631206,168.929078,177.5134752,103.4269504,81.79716312,14.41985816
23.57451143,53.51225571,56.09788009,75208.4585,12.55312253,10710.04743,1.16344664,34.44666667,3.280948617,3.286118577,2.574079051,2.549802372,69.13596838,79.35177866,95.09407115,126.6197628,149.7233202,184.1833992,88.22924901,72.70039526,14.65612648
23.51994033,53.29172882,56.11636002,75311.15421,13.8067053,11403.74172,1.106821192,35.78666667,3.288021523,3.686514901,2.597549669,2.573733444,67.91804636,80.38493377,102.4039735,118.0264901,149.4089404,184.8509934,88.07119205,72.61092715,15.31953642
23.46661689,53.07997345,56.14600962,74224.75472,12.17615094,10703.95094,1.16125283,34.04,3.302128302,3.337758491,2.606762264,2.5836,74.07320755,80,94.77433962,118.2203774,134.0498113,183.1320755,95.34490566,82.37433962,14.1909434
23.4104267,52.84791632,56.14776689,74874.83533,12.59685629,10040.21124,1.185823353,31.14,3.270606287,3.199857784,2.613495509,2.590247006,67.30164671,76.37200599,78.5239521,114.7095808,127.8577844,192.3338323,115.1092814,84.94610778,14.98502994
23.44305902,53.07747298,56.4319202,73641.36933,13.23259402,10537.06525,1.17972999,29.94666667,3.267116683,3.186335583,2.524937319,2.500221794,68.51108968,80.73288332,75.41369335,111.2459016,123.6219865,191.5699132,114.4050145,85.68370299,15.64898746
23.85842414,55.57703269,58.77015926,75833.57401,14.23261131,10579.86763,1.146883273,35.3,3.292322503,3.403237064,2.567797834,2.544777377,68.90734055,83.69915764,86.25030084,153.9253911,136.5487365,173.1046931,97.49939832,82.19735259,16.37906137
23.91904282,55.94542401,59.12678421,73803.96894,14.59663503,9872.628343,1.192320966,36.41333333,3.280931838,3.440802416,2.567264884,2.544572908,65.82484901,82.9732528,83.6824849,101.1182053,151.5289042,184.0534944,95.16824849,85.85332183,17.44779983
23.9118516,55.91489005,59.14403223,70059.15326,14.03767993,10013.4293,1.219220999,36.02,3.279229467,3.238458933,2.596325148,2.573293819,63.23116003,82.92294666,76.50973751,75.41066892,137.2277731,185.6917866,109.0736664,76.78238781,17.16426757
23.90742358,55.90426604,59.18995633,68068.19763,11.72936674,8085.956855,1.166402227,36.26666667,3.284906054,3.153472512,2.63506611,2.6117119,68.44258873,81.32428671,76.13639527,88.10299235,124.9951287,169.7341684,108.0876827,78.74182324,13.92275574
23.90183101,55.88761969,59.2326558,75458.95097,9.98945268,7419.247434,1.12391106,32.3,3.263722919,3.168375143,2.518483466,2.494686431,71.70068415,81.93215507,96.995439,122.9087799,134.2417332,175.9942987,96.47548461,96.03078677,11.35518814
23.89658881,55.87145018,59.27121492,76979.08309,9.915759312,8288.040115,1.081444126,33.86,3.140418338,2.984951289,2.562510029,2.539266476,66.17879656,79.49340974,103.7123209,102.6796562,153.1117479,180.077937,96.16160458,96.76332378,10.8017192
23.89052419,55.84811828,59.29670699,72632.51741,12.31392758,9618.603064,1.120501393,36.26666667,3.180494429,3.060369081,2.498342618,2.474637883,68.59192201,82.50487465,89.51671309,121.0069638,141.6267409,177.8969359,84.80779944,78.36490251,13.83774373
23.88495545,55.82955119,59.33182047,71277.68199,11.68735632,8941.542146,1.107024266,36.15333333,3.243984674,3.216784802,2.525555556,2.50142401,66.56002554,80.64367816,80.08748404,118.8033206,138.0721584,175.5823755,87.56449553,81.15517241,13.00127714
23.8805649,55.82111634,59.38550773,71209.27961,11.36050061,9125.863248,1.118205128,36.92,3.249108669,3.445647131,2.442472527,2.418528694,66.04090354,81.26678877,77.06349206,109.6019536,128.991453,183.2637363,96.97313797,83.41758242,12.74908425
23.89964694,55.96788837,59.64794889,73321.8382,9.546185356,8450.801331,1.107762417,36.51333333,3.195729647,3.122601126,2.440977983,2.417014849,61.14951357,78.15360983,71.3343574,104.3205325,123.2319508,199.0865335,114.9462366,84.49564772,10.60957501
23.95923685,56.38527484,60.28223231,73057.24585,11.67901947,9508.053353,1.173251622,34.5,3.151586157,3.010713771,2.48814708,2.464318673,66.08435472,80.86012978,66.1297765,104.5378515,127.6640231,200.8493151,113.8385004,81.49819755,13.75342466
24.01856086,56.8031271,60.9199731,72280.45113,14.89567669,8609.308036,1.18018797,35.18,3.088195489,3.004154135,3.163016917,3.142171053,69.1137218,84.43515038,74.56015038,101.0601504,118.8928571,191.5845865,106.5413534,97.41353383,17.68233083
24.07967042,57.23289053,61.57474357,68755.77211,14.02818591,9165.570251,1.127376312,36.18,3.218928036,3.398298351,2.560209895,2.537368816,73.05172414,85.50224888,75.14842579,99.51124438,111.5742129,179.6761619,100.8215892,89.69565217,15.90104948
24.13853396,57.64677202,62.20544721,70935.5,14.1280303,10195.88258,1.117424242,33.4,3.228901515,3.307227273,2.572090909,2.547606061,71.70151515,83.39545455,86.37727273,101.1893939,111.6575758,185.6166667,103.9454545,86.88181818,15.86515152
24.19973096,58.07617286,62.85791155,68332.64322,16.43246231,10233.91134,1.186271357,34.28666667,3.178703518,3.16961809,2.514673367,2.490080402,67.43115578,83.63417085,78.39396985,98.18894472,112.0562814,161.0693467,119.3246231,81.67035176,19.52663317
24.26028917,58.49865501,63.49445192,68318.94439,15.2836475,10417.62017,1.201743638,38.46666667,3.159594722,3.095414703,2.508553252,2.483459001,66.72196041,84.0202639,68.96229972,100.998115,129.5447691,163.7078228,111.6578699,75.07822809,18.41611687
24.32377587,58.94800606,64.18105334,67628.08042,15.66828794,10193.52032,1.200603113,35.5,3.146488327,3.06405642,2.489902724,2.465894942,66.71108949,85.73832685,63.59143969,94.47859922,126.0330739,156.536965,127.9455253,73.08560311,18.85992218
24.27950311,58.43662918,63.36008058,67538.94293,15.99309339,10604.47429,1.169455253,35.64,3.15811284,3.259970817,2.393570039,2.369708171,67.12062257,85.69649805,60.68093385,78.80155642,133.4708171,159.8249027,136.3579767,67.71984436,18.75291829
24.22294285,57.81632311,62.3757332,71738.08648,15.37644894,10804.24103,1.161711132,34.29333333,3.22675253,3.344139834,2.532529899,2.509034039,67.76724931,84.41214351,60.1324747,128.0864765,131.849126,184.9273229,115.374425,63.41674333,17.91076357
24.16643801,57.19173498,61.37928727,67730.54929,13.30579383,9441.068473,1.219894658,33.84,3.137133183,2.98048909,2.340428894,2.316516178,70.04063205,84.49435666,52.83521445,82.20015049,136.7915726,173.7276147,135.778781,55.64183597,16.2896915
24.11177748,56.58486468,60.4109589,64862.32179,15.50936864,10441.59878,1.195397149,33.38666667,3.107138493,2.970458248,2.322372709,2.298004073,67.96130346,86.84928717,70.50101833,80.3706721,122.4949084,153.5519348,118.1710794,68.18126273,18.57637475
24.05747165,55.97931955,59.44229486,65274.72637,15.80776119,10570.13077,1.168338308,34.42666667,3.11041791,2.985283582,2.361412935,2.337104478,69.38208955,83.59402985,68.95920398,87.58606965,110.0696517,161.5621891,109.4547264,83.52437811,18.52238806
24.00106525,55.35735686,58.4494008,64836.09134,14.91788256,10224.53069,1.188362989,35.46666667,3.176316726,3.101565836,2.375062278,2.350862989,69.40213523,83.68950178,74.49822064,82.38078292,101.1441281,177.1690391,100.6886121,79.84875445,17.77935943
23.97785536,55.11886949,58.07697423,66163.28767,14.27260274,10171.31507,1.178958904,36.56333334,3.176219178,3.121260274,2.447589041,2.423424658,64.50136986,80.05205479,73.95616438,87.35890411,105.1890411,188.9863014,96.93150685,75.34794521,16.87671233
24.22835154,58.29907315,63.30321086,70392.83422,13.95572193,11155.3262,1.177604278,37.66,3.210951872,3.155818182,2.376877005,2.352759358,71.78181818,84.99037433,88.81283422,92.7657754,118.8534759,164.5925134,116.684492,87.71550802,16.49197861
24.27210457,58.84265387,64.19308405,72036.7236,13.95815217,11230.92909,1.164223602,38.66666667,3.222903727,3.272546584,2.385046584,2.360395963,71.44720497,82.63043478,73.46583851,105.4021739,115.3524845,160.6692547,120.5357143,117.1024845,16.29968944
24.25990738,58.77174992,64.09940457,73234.31034,13.63112069,11027.64655,1.190931034,35.81333333,3.171293103,3.101672414,2.399155172,2.375663793,65.35862069,83.18706897,97.0862069,89.97758621,112.5534483,170.5103448,114.3344828,115.4103448,16.27758621
24.19238663,58.05958292,62.96706389,72135.26705,13.99580937,11749.71244,1.193097781,38.3,3.162662284,3.073730485,2.432818406,2.408192276,64.63352506,82.83648316,90.5505341,94.9663106,123.6187346,176.4617913,111.1750205,88.71158587,16.73788003
24.12180464,57.32764901,61.81009934,70862.84916,13.34740623,11469.95611,1.214126097,38.63333333,3.139329609,3.030422985,2.397422187,2.37301676,65.06384677,83.28411812,82.74541101,84.15802075,126.9497207,181.67917,111.9281724,83.29928172,16.25458899
24.05148252,56.59499752,60.65048865,71067.64965,13.92112676,12029.49604,1.195809859,37.97333333,3.1525,3.043142606,2.376496479,2.352297535,66.61443662,83.7306338,80.0721831,80.12323944,127.8309859,175.2728873,126.4683099,81.50176056,16.68926056
23.97924466,55.85058804,59.47457346,69586.4619,14.41224315,11790.49346,1.169811644,36.44666667,3.147671233,3.054708904,2.322294521,2.297765411,70.06934932,84.14212329,70.91438356,87.30650685,125.7739726,169.7928082,124.3561644,81.32363014,16.90410959
23.91042772,55.12964191,58.33057029,73283.26333,13.85759289,9462.031502,1.167770598,38.58,2.880403877,2.77358643,2.96407916,2.943069467,64.28756058,84.68578352,63.64781906,97.96607431,121.0339257,196.80937,121.6865913,96.86752827,16.23990307
23.84140677,54.40726609,57.18513603,74238.82163,14.3094431,10382.46166,1.139435028,36.58666667,2.815803067,2.67637611,2.908337369,2.888280872,59.69249395,85.03874092,59.67554479,86.93139629,146.188862,201.0008071,124.9459241,82.83131558,16.35673931
23.76976937,53.66600299,56.01626016,74115.31766,13.83052986,9709.60471,1.198990749,37.5,2.814373423,2.676324643,2.901236333,2.881152229,60.85786375,85.80908326,59.72413793,68.4491169,154.1614802,205.6736754,137.1354079,68.69470143,16.62068966
23.71779548,53.10292165,55.08582337,74806.65371,13.95205592,9967.859944,1.208092105,37.38,2.798930921,2.645690789,2.894662829,2.873585526,55.41776316,84.37335526,48.80263158,50.76315789,173.7006579,222.4375,145.5032895,52.03782895,16.89720395
23.75904053,53.39718776,55.31381307,75681.49847,14.28648874,10262.39545,1.200083403,35.90333334,2.812552127,2.652376981,2.910650542,2.88910759,59.59633028,84.9441201,50.53878232,49.42118432,175.4912427,226.1884904,150.3569641,48.08673895,17.18765638
23.8004451,53.69568084,55.55209364,75985.66635,15.25139022,10666.93193,1.164908917,34.42666667,2.834956855,2.708149569,2.924918504,2.902790029,62.53403643,87.35091083,48.8801534,61.57238734,170.8782359,216.569511,155.9424736,52.37775647,17.8168744
23.84189944,53.99227736,55.78409464,76265.50245,15.4390625,10867.06738,1.193933824,33,2.859696691,2.776792279,2.926102941,2.904604779,60.01654412,87.30055147,42.97242647,62.50735294,177.3253676,216.6599265,161.0091912,47.25919118,18.48483456
23.88348624,54.28997379,56.01982307,76684.26387,14.26287171,9615.878141,1.190246389,35.48666667,2.860841121,2.774919286,2.93097706,2.908657604,61.46049278,84.82922685,57.47153781,73.90314359,160.0169924,218.8343246,154.3211555,49.62276975,17.01614274
23.92375898,54.58001306,56.24951012,76484.37245,12.4204564,11201.00652,1.193480033,37.25333333,3.559559902,3.445778321,2.707718011,2.683838631,69.38386308,80.98859006,75.21760391,88.37652812,151.202934,194.3341483,143.1589242,66.49714751,14.85330073
23.96435547,54.87011719,56.47900391,70275.98628,15.07229846,10224.17067,1.203104631,37.31333333,2.795823328,2.671723842,2.884142367,2.862169811,59.0102916,87.47512864,85.39794168,38.07204117,155.9982847,169.025729,133.9725557,71.68610635,18.1745283
24.00548434,55.16485478,56.71426253,72234.04028,15.06713352,10217.93651,1.197815126,36.33333333,2.784995331,2.638832866,2.878067227,2.8556676,63.73295985,87.24929972,94.30999066,74.93557423,146.085901,173.8095238,117.5835668,72.52847806,18.07936508
24.03278768,55.20275527,56.46839546,73619.04509,14.08894783,9831.795756,1.206401415,37.28,2.812838196,2.695375774,2.890999116,2.868558798,56.93103448,86.07338638,80.05481874,86.33244916,146.22458,189.2183908,118.2369584,74.19628647,17.0495137
24.04667316,54.9719247,55.71032132,73594.30328,13.83295082,10046.21721,1.194098361,36.73666667,2.815959016,2.731163934,2.885139344,2.861491803,52.91311475,82.58606557,78.6,87.77213115,129.2098361,191.5081967,134.2098361,72.94754098,16.55860656
24.06141719,54.74809036,54.96326995,74306.52906,14.74406066,10072.42628,1.166992418,36.19333333,2.841213142,2.773251896,2.9031508,2.877877001,56.53580455,85.1811289,78.70092671,87.70176917,129.4187026,192.5880371,137.0042123,75.67481045,17.24557709
24.07511393,54.51595052,54.20345052,75176.01845,14.29292852,9486.272098,1.19537279,39.68666667,2.819976941,2.743474251,2.883128363,2.859323597,51.15680246,85.30668716,68.93927748,73.43428132,147.3697156,207.1222137,138.88701,69.09761722,17.12682552
24.08880561,54.28254848,53.44174678,75024.67178,14.70691538,10295.15469,1.209863512,37.54666667,2.802538672,2.697188353,2.87377616,2.850054595,53.62784349,87.72975432,63.8289354,64.38762511,150.4258417,213.44495,146.0436761,62.15832575,17.8343949
24.1021044,54.04616639,52.67357259,75635.23899,15.35173383,10766.2418,1.204198688,35.18,2.804095595,2.698875351,2.873064667,2.849072165,50.75164011,87.04592315,58.85285848,61.2108716,155.2783505,214.0843486,156.6298032,58.34301781,18.5267104
24.11750286,53.82350057,51.92449747,74654.91329,14.78815029,10303.10212,1.207591522,35.89333333,2.794210019,2.681637765,2.862919075,2.838188825,51.8477842,88.01348748,53.25433526,66.19653179,152.8458574,220.0655106,145.7495183,58.49518304,17.90944123
24.09019416,53.83357807,52.25566977,75258.23723,13.98319605,9151.087315,1.179093904,36,2.819176277,2.693912685,2.898039539,2.87378089,59.70016474,87.84266886,52.40197694,65.20593081,152.3855025,208.0065898,158.9489292,66.53047776,16.54036244
24.03753861,53.9809787,53.22597952,74709.2803,15.57746212,9798.161827,1.177443182,35.19333333,2.798589015,2.701931818,2.868693182,2.844886364,54,86.82575758,37.3655303,50.80113636,177.8560606,191.2594697,183.7859848,51.05871212,18.38352273
23.9872206,54.14075154,54.2058633,74745.00471,15.85749293,10266.51272,1.179151744,36.24,2.831479736,2.750527804,2.895428841,2.872488219,54.7200754,85.91611687,41.60980207,48.7332705,179.1234684,189.0329877,180.2299717,54.36757776,18.73232799
