volume_weight,frictional_angle,cohesion,DJ_1,DJ_2,DJ_4,DJ_3,ZZJL,ZXZ_YL_1,ZXZ_YL_2,KWC_YL_1,KWC_YL_2,NJB_SZ_11,NJB_SZ_21,YG_A_2,YG_B_2,YG_C_2,YG_D_2,YG_E_2,YG_F_2,DX_DW_2
19.72161406,20.79625782,19.12776668,116680.4574,30.21912682,5104.823285,1.392598753,28.42,5.577255717,5.598024948,4.68956341,4.683388773,85.97920998,81.7962578,78.96465696,135.2037422,173.2869023,170.9480249,172.991684,139.7318087,-35.0
19.71919595,20.83630192,19.07799521,115664.4737,21.47664474,4444.712171,1.652105263,27.4,5.575378289,5.595197368,4.698470395,4.691003289,83.65953947,78.16282895,92.42105263,137.4967105,164.2549342,163.2467105,163.8569079,139.8898026,-37.0
19.71663119,20.87413518,19.03150612,115777.7778,29.39434343,4955.949495,1.442343434,28.9,5.575676768,5.595515152,4.711676768,4.705272727,85.0,82.34545455,112.4565657,149.410101,152.7212121,150.4121212,152.3373737,142.7757576,-35.0
19.71413376,20.91634091,18.97796836,115050.6306,26.41891892,4756.479279,1.551171171,28.68,5.574990991,5.596126126,4.709387387,4.705837838,84.0,81.11351351,127.5297297,146.0684685,145.6234234,143.3279279,145.009009,143.2234234,-33.8
19.71152159,20.9521196,18.93063123,115193.401,34.78324873,5764.213198,1.135532995,28.0,5.775059222,5.793807107,4.714213198,4.707478849,80.15228426,76.09137056,124.2673435,147.0558376,146.6395939,144.7986464,146.1590525,143.8798646,-29.0
19.70901607,20.99320143,18.87909972,112489.4977,37.86057839,5735.525114,0.891111111,28.1,5.670487062,5.688828006,4.632328767,4.638280061,81.95585997,75.0608828,118.130898,133.2770167,139.739726,147.3439878,148.564688,144.1004566,-25.2
19.70648885,21.03026805,18.830069,111863.0986,41.78253521,5765.464789,0.756197183,28.3,5.672042254,5.689802817,4.63284507,4.630239437,82.02253521,72.64788732,132.7915493,133.0492958,137.156338,140.5,140.6309859,139.0450704,-23.0
19.70395225,21.06919098,18.7812069,113440.256,43.54665718,5790.540541,0.729559033,28.6,5.561450925,5.577624467,4.657524893,4.651109531,87.3541963,77.41536273,132.9203414,137.029872,137.2958748,143.1422475,143.3541963,141.3285917,-19.8
19.7013381,21.10885003,18.7300212,112669.9545,46.20789074,5934.825493,0.714840668,28.3,5.474127466,5.491335357,4.660394537,4.651016692,88.36874052,79.76024279,132.400607,131.3550835,132.4324734,144.2124431,144.5705615,142.9666161,-20.0
19.69887462,21.14610089,18.68211307,111834.7692,46.56430769,5968.923077,0.711692308,29.0,5.475723077,5.493523077,4.642876923,4.633292308,87.0,79.26461538,128.0476923,128.1476923,130.9953846,145.3953846,145.7138462,144.2061538,-22.8
19.69633452,21.18336642,18.63526532,110831.592,46.23462687,5976.865672,0.712835821,28.6,5.472447761,5.490373134,4.616970149,4.604089552,86.82835821,78.16716418,105.3044776,120.0074627,139.8104478,151.9895522,152.2462687,150.6268657,-24.0
19.6938252,21.22382652,18.58434484,111979.7256,44.33551829,5850.030488,0.735792683,28.66,5.477271341,5.495121951,4.626067073,4.618719512,83.0,76.76371951,103.7210366,114.7591463,128.6402439,160.742378,160.9893293,158.714939,-25.0
19.69128998,21.2605604,18.53616178,111992.6554,46.83709981,6351.111111,0.845988701,27.98,5.473333333,5.491016949,4.63440678,4.63527307,82.74199623,79.28060264,97.45951036,113.4218456,131.2184557,163.2316384,164.6704331,158.1450094,-27.0
19.68880085,21.29922081,18.48721606,109983.6792,48.7390566,6435.886792,0.827207547,28.16,5.479509434,5.498264151,4.631226415,4.632415094,84.0,81.36603774,82.86792453,114.0509434,129.6603774,164.9264151,166.5415094,158.2283019,-30.0
